Year,Shadow,FebTemp,MarchTemp
2015,Yes,Slightly Below,Above
2014,Yes,Below,Slightly Below
2013,No,Slightly Above,Slightly Below
2012,Yes,Above,Above
2011,No,Slightly Below,Above
2010,Yes,Below,Above
2009,Yes,Above,Above
2008,Yes,Slightly Above,Slightly Above
2007,No,Below,Above
2006,Yes,Above,Above
2005,Yes,Above,Slightly Above
2004,Yes,Slightly Below,Above
2003,Yes,Below,Above
2002,Yes,Above,Below
2001,Yes,Slightly Above,Slightly Below
2000,Yes,Above,Above
1999,No,Above,Above
1998,Yes,Above,Slightly Below
1997,No,Above,Above
1996,Yes,Above,Below
1995,No,Above,Above
1994,Yes,Below,Above
1993,Yes,Below,Slightly Above
1992,Yes,Above,Above
1991,Yes,Above,Above
1990,No,Above,Above
1989,Yes,Below,Above
1988,No,Slightly Below,Slightly Above
